,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
4548,棳,zhuó,zhuo,2,"['small pillars that support the roof, those which rest on the main beam']",[],[]
4549,棵,kē,ke,1,"['classifier for trees, cabbages, plants etc']",[],[]
4550,棶,lái,lai,2,['see \xe6\xa3\xb6\xe6\x9c\xa8|\xe6\xa2\xbe\xe6\x9c\xa8[lai2 mu4]'],[],[]
4551,棹,zhuō,zhuo,1,[],"[{u'ch': '\xe6\xa1\x8c', u'py': 'zhuo1', u'chs': '\xe6\xa1\x8c', u'vartype': ''}]",[]
4552,棺,guān,guan,1,['coffin'],[],[]
4553,棻,fēn,fen,1,"['aromatic wood', 'perfume', 'fragrance']",[],[]
4554,棼,fén,fen,2,"['beams in roof', 'confused']",[],[]
4555,椀,wǎn,wan,3,[],"[{u'ch': '\xe7\xa2\x97', u'py': 'wan3', u'chs': '\xe7\xa2\x97', u'vartype': ''}]",[]
4556,椄,jiē,jie,1,['to graft'],[],[]
4557,椅,yǐ,yi,3,['chair'],[],[]
4558,椆,choú,chou,2,['species of tree resistant to cold weather'],[],[]
4559,椈,jú,ju,2,['Fagus sylvatica'],[],[]
4560,椉,chéng,cheng,2,[],"[{u'ch': '\xe4\xb9\x98', u'py': 'cheng2', u'chs': '\xe4\xb9\x98', u'vartype': 'old'}]",[]
4561,椊,zuó,zuo,2,"['to fit a handle into a socket', 'a plug or cork']",[],[]
4562,椋,liáng,liang,2,['see \xe6\xa4\x8b\xe9\xb3\xa5|\xe6\xa4\x8b\xe9\xb8\x9f[liang2 niao3]'],[],[]
4563,椌,qiāng,qiang,1,['(wooden mus. instr.)'],[],[]
4564,植,zhí,zhi,2,['to plant'],[],[]
4565,椎,chuí,chui,2,['a hammer'],[],[]
4566,椎,zhuī,zhui,1,['spine'],[],[]
4567,椏,yā,ya,1,['forking branch'],[],[]
4568,椐,jū,ju,1,['Zelkowa acuminata'],[],[]
4569,椑,bēi,bei,1,['Fagus sylvatica'],[],[]
4570,椒,jiāo,jiao,1,['pepper'],[],[]
4571,椓,zhuó,zhuo,2,['beat'],[],[]
4572,椗,dìng,ding,4,[],"[{u'ch': '\xe7\xa2\x87', u'py': 'ding4', u'chs': '\xe7\xa2\x87', u'vartype': ''}]",[]
4573,検,jiǎn,jian,3,[],"[{u'ch': '\xe6\xaa\xa2', u'py': '', u'chs': '\xe6\xa3\x80', u'vartype': 'Japanese'}]",[]
4574,椥,zhī,zhi,1,['see \xe6\xaa\xb3\xe6\xa4\xa5|\xe6\xa7\x9f\xe6\xa4\xa5[Bin1 zhi1]'],[],[]
4575,椪,pèng,peng,4,['see \xe6\xa4\xaa\xe6\x9f\x91[peng4 gan1]'],[],[]
4576,椰,yē,ye,1,"['coconut palm', 'Taiwan pr. [ye2]']",[],[]
4577,椳,wēi,wei,1,"['the pivots, at the top and bottom of a Chinese door, on which the door turns']",[],[]
4578,椴,duàn,duan,4,['Chinese linden (Tilia chinensis)'],[],[]
4579,椵,jiǎ,jia,3,['(grapefruit)'],[],[]
4580,椶,zōng,zong,1,[],"[{u'ch': '\xe6\xa3\x95', u'py': 'zong1', u'chs': '\xe6\xa3\x95', u'vartype': ''}]",[]
4581,椷,jiān,jian,1,"['(wooden) box', 'cup', 'letter']","[{u'ch': '\xe7\xb7\x98', u'py': 'jian1', u'chs': '\xe7\xbc\x84', u'vartype': 'old'}]",[]
4582,椸,yí,yi,2,['clothes-horse'],[],[]
4583,椹,shèn,shen,4,[],"[{u'ch': '\xe8\x91\x9a', u'py': 'shen4', u'chs': '\xe8\x91\x9a', u'vartype': ''}]",[]
4584,椽,chuán,chuan,2,"['beam', 'rafters']",[],[]
4585,椾,jiān,jian,1,[],"[{u'ch': '\xe7\xae\x8b', u'py': 'jian1', u'chs': '\xe7\xac\xba', u'vartype': ''}]",[]
4586,椿,chūn,chun,1,"['Chinese toon (Toona sinensis)', 'tree of heaven (Ailanthus altissima)', '(literary metaphor) father']",[],[]
4587,楂,chá,cha,2,"['fell trees', 'raft', 'to hew']",[],[]
4588,楂,zhā,zha,1,"['Chinese quince', 'hawthorn']",[],[]
4589,楄,pián,pian,2,['basket-couch in coffin'],[],[]
4590,楅,bì,bi,4,['ox yoke placed on the horns'],[],[]
4591,楊,yáng,yang,2,['poplar'],[],[]
4592,楋,là,la,4,['to plant trees (old)'],[],[]
4593,楍,běn,ben,3,[],"[{u'ch': '\xe6\x9c\xac', u'py': 'ben3', u'chs': '\xe6\x9c\xac', u'vartype': 'old'}]",[]
4594,楎,hún,hun,2,['clothes-horse'],[],[]
4595,楓,fēng,feng,1,['maple (genus Acer)'],[],[]
4596,楔,xiē,xie,1,"['to wedge', 'wedge']",[],[]
4597,楗,jiàn,jian,4,"['material (such as rocks, earth, bamboo etc) used to hastily repair a dike', '(literary) door bar (vertical bar used to prevent the horizontal movement of a door bolt)']",[],[]
4598,楘,mù,mu,4,['ornaments on chariot-shaft'],[],[]
4599,楙,mào,mao,4,['Cydonia japonica'],[],[]
4600,楚,chǔ,chu,3,"['distinct', 'clear', 'orderly', 'pain', 'suffering', 'deciduous bush used in Chinese medicine (genus Vitex)', 'punishment cane (old)']",[],[]
4601,楛,hù,hu,4,['(tree)'],[],[]
4602,楛,kǔ,ku,3,['broken utensil'],[],[]
4603,楝,liàn,lian,4,['Melia japonica'],[],[]
4604,楞,léng,leng,2,"['variant of \xe7\xa8\x9c|\xe6\xa3\xb1, corner', 'square beam', 'edge', 'arris (curve formed by two surfaces meeting at an edge)', 'see \xe6\xa5\x9e\xe8\xbf\xa6 Sri Lanka']",[],[]
4605,楞,lèng,leng,4,"['to look distracted', 'to stare blankly', 'distracted', 'blank']","[{u'ch': '\xe6\x84\xa3', u'py': 'leng4', u'chs': '\xe6\x84\xa3', u'vartype': ''}]",[]
4606,楟,tíng,ting,2,['tree'],[],[]
4607,楠,nán,nan,2,"['Machilus nanmu', 'Chinese cedar', 'Chinese giant redwood']",[],[]
4608,楢,yoú,you,2,['Quercus glandulifera'],[],[]
4609,楣,méi,mei,2,"['lintel', 'crossbeam']",[],[]
4610,楥,xuàn,xuan,4,['(wooden) shoe last'],"[{u'ch': '\xe6\xa5\xa6', u'py': 'xuan4', u'chs': '\xe6\xa5\xa6', u'vartype': ''}]",[]
4611,楦,xuàn,xuan,4,"['to block (a hat)', 'to stretch (a shoe)']",[],[]
4612,楨,zhēn,zhen,1,['evergreen shrub'],[],[]
4613,楩,pián,pian,2,['(tree)'],[],[]
4614,楪,dié,die,2,"['small dish', 'window']",[],[]
4615,楫,jí,ji,2,['oar (archaic)'],[],[]
4616,楬,jié,jie,2,"['a peg', 'tally', 'score']",[],[]
4617,業,yè,ye,4,"['line of business', 'industry', 'occupation', 'job', 'employment', 'school studies', 'enterprise', 'property', '(Buddhism) karma', 'deed', 'to engage in', 'already']",[],[]
4618,楮,chǔ,chu,3,['Broussonetia kasinoki'],[],[]
4619,楯,shǔn,shun,3,"['draw forth', 'horizontal railing']",[],[]
4620,楰,yú,yu,2,['(tree)'],[],[]
4621,楳,méi,mei,2,[],"[{u'ch': '\xe6\xa2\x85', u'py': 'mei2', u'chs': '\xe6\xa2\x85', u'vartype': ''}]",[]
4622,極,jí,ji,2,"['extremely', 'pole (geography, physics)', 'utmost', 'top']",[],[]
4623,楷,jiē,jie,1,['Chinese pistachio tree (Pistacia chinensis)'],[],[]
4624,楷,kǎi,kai,3,"['model', 'pattern', 'regular script (calligraphic style)']",[],[]
4625,楸,qiū,qiu,1,"['Catalpa', 'Mallotus japonicus']",[],[]
4626,楹,yíng,ying,2,['pillar'],[],[]
4627,楻,huáng,huang,2,[],"[{u'ch': '\xe8\x89\x8e', u'py': 'huang2', u'chs': '\xe8\x89\x8e', u'vartype': ''}]",[]
4628,楽,lè,le,4,[],"[{u'ch': '\xe6\xa8\x82', u'py': 'le4', u'chs': '\xe4\xb9\x90', u'vartype': 'Japanese'}]",[]
4629,楽,yuè,yue,4,[],"[{u'ch': '\xe6\xa8\x82', u'py': 'yue4', u'chs': '\xe4\xb9\x90', u'vartype': 'Japanese'}]",[]
4630,榀,pǐn,pin,3,['classifier for roof beams and trusses'],[],[]
4631,概,gài,gai,4,"['general', 'approximate']",[],[]
4632,榃,tán,tan,2,['raised path between fields'],[],[]
4633,榆,yú,yu,2,['elm'],[],[]
4634,榊,shén,shen,2,['sakaki tree (Japanese kokuji)'],[],[]
4635,榎,jiǎ,jia,3,"['(evergreen shrub)', 'Celtis sinensis']",[],[]
4636,榔,láng,lang,2,['tall tree (archaic)'],[],[]
4637,榕,róng,rong,2,"['banyan tree', 'Ficus wightiana']",[],[]
4638,榖,gǔ,gu,3,['paper mulberry tree'],[],[]
4639,榘,jǔ,ju,3,[],"[{u'ch': '\xe7\x9f\xa9', u'py': 'ju3', u'chs': '\xe7\x9f\xa9', u'vartype': ''}]",[]
4640,榛,zhēn,zhen,1,"['hazel tree', 'Corylus heterophylla']",[],[]
4641,榜,bàng,bang,4,"['to row', 'oar', 'Taiwan pr. [beng4]']",[],[]
4642,榜,pèng,peng,4,"['to whip', 'Taiwan pr. [beng4]']",[],[]
4643,榜,bǎng,bang,3,"['notice or announcement', 'list of names', 'public roll of successful examinees']",[],[]
4644,榠,míng,ming,2,['Chinese quince'],[],[]
4645,榡,sù,su,4,['Quercus dentata'],[],[]
4646,榤,jié,jie,2,['a stump on which chickens roost'],[],[]
4647,榥,huǎng,huang,3,['screen'],[],[]
4648,榦,gàn,gan,4,['tree trunk'],[],[]
4649,榧,fěi,fei,3,['Torreya nucifera'],[],[]
4650,榨,zhà,zha,4,"['to press', 'to extract (juice)', 'device for extracting juice, oils etc']",[],[]
4651,榪,mà,ma,4,['headboard'],[],[]
4652,榫,sǔn,sun,3,['tenon (cabinetmaking)'],[],[]
4653,榭,xiè,xie,4,['pavilion'],[],[]
4654,榮,róng,rong,2,"['glory', 'honor', 'thriving']",[],[]
4655,榰,zhī,zhi,1,"['base of pillar', 'prop']",[],[]
4656,榱,cuī,cui,1,['rafter (classical)'],[],[]
4657,榲,wēn,wen,1,['see \xe6\xa6\xb2\xe6\xa1\xb2|\xe6\xa6\x85\xe6\xa1\xb2[wen1 po5]'],[],[]
4658,榴,liú,liu,2,['pomegranate'],[],[]
4659,榷,què,que,4,"['footbridge', 'toll, levy', 'monopoly']",[],[]
4660,榻,tà,ta,4,['couch'],[],[]
4661,榼,kè,ke,4,['Pusaetha scandens'],[],[]
4662,榾,gǔ,gu,3,['scraps of wood'],[],[]
4663,榿,qī,qi,1,['alder'],[],[]
4664,槀,gǎo,gao,3,['dried up'],"[{u'ch': '\xe6\xa7\x81', u'py': 'gao3', u'chs': '\xe6\xa7\x81', u'vartype': ''}]",[]
4665,槁,gǎo,gao,3,"['dried up (wood)', 'dead tree']",[],[]
4666,槃,pán,pan,2,['wooden tray'],"[{u'ch': '\xe7\x9b\xa4', u'py': '', u'chs': '\xe7\x9b\x98', u'vartype': ''}]",[]
4667,槊,shuò,shuo,4,['long lance'],[],[]
4668,構,goù,gou,4,"['to construct', 'to form', 'to make up', 'to compose', 'literary composition', 'paper mulberry (Broussonetia papyrifera)']",[],[]
4669,槌,chuí,chui,2,"['mallet', 'pestle', 'beetle (for wedging or ramming)']",[],[]
4670,槍,qiāng,qiang,1,"['gun', 'firearm', 'rifle', 'spear', 'thing with shape or function similar to a gun', 'to substitute for another person in a test', 'to knock', 'classifier for rifle shots']",[],"[('\xe6\x94\xaf', '\xe6\x94\xaf', 'zhi1'), ('\xe6\x8a\x8a', '\xe6\x8a\x8a', 'ba3'), ('\xe6\xa1\xbf', '\xe6\x9d\x86', 'gan3'), ('\xe6\xa2\x9d', '\xe6\x9d\xa1', 'tiao2'), ('\xe6\x9e\x9d', '\xe6\x9e\x9d', 'zhi1')]"
4671,槎,chá,cha,2,"['a raft made of bamboo or wood', 'to fell trees', 'to hew']",[],[]
4672,槐,huái,huai,2,"['Chinese scholar tree (Sophora japonica)', 'Japanese pagoda tree']",[],[]
4673,槑,méi,mei,2,[],"[{u'ch': '\xe6\xa2\x85', u'py': 'mei2', u'chs': '\xe6\xa2\x85', u'vartype': 'old'}]",[]
4674,槓,gàng,gang,4,"['thick pole', 'bar', 'rod', 'thick line', 'to mark with a thick line', 'to sharpen (knife)', '(old) coffin-bearing pole']",[],[]
4675,槔,gāo,gao,1,['water pulley'],[],[]
4676,槕,zhuō,zhuo,1,[],"[{u'ch': '\xe6\xa1\x8c', u'py': 'zhuo1', u'chs': '\xe6\xa1\x8c', u'vartype': 'old'}]",[]
4677,槖,tuó,tuo,2,[],"[{u'ch': '\xe6\xa9\x90', u'py': 'tuo2', u'chs': '\xe6\xa9\x90', u'vartype': ''}]",[]
4678,様,yàng,yang,4,[],"[{u'ch': '\xe6\xa8\xa3', u'py': '', u'chs': '\xe6\xa0\xb7', u'vartype': 'Japanese'}]",[]
4679,槜,zuì,zui,4,"['see \xe6\xa7\x9c\xe6\x9d\x8e[zui4 li3]', 'see \xe6\xa7\x9c\xe6\x9d\x8e[Zui4 li3]']",[],[]
4680,槢,xí,xi,2,['a hard wood'],[],[]
4681,槤,lián,lian,2,"['see \xe6\xa7\xa4\xe6\x9e\xb7|\xe6\xa2\xbf\xe6\x9e\xb7[lian2 jia1], flail', 'to thresh (using a flail)']",[],[]
4682,槥,huì,hui,4,['coffin'],[],[]
4683,槧,qiàn,qian,4,"['wooden tablet', 'edition']",[],[]
4684,槨,guǒ,guo,3,['outer coffin'],[],[]
4685,槩,gài,gai,4,[],"[{u'ch': '\xe6\xa6\x82', u'py': 'gai4', u'chs': '\xe6\xa6\x82', u'vartype': 'old'}]",[]
4686,槪,gài,gai,4,[],"[{u'ch': '\xe6\xa6\x82', u'py': 'gai4', u'chs': '\xe6\xa6\x82', u'vartype': ''}]",[]
4687,槭,qì,qi,4,"['maple', 'also pr. [zu2]', 'Taiwan pr. [cu4]']",[],[]
4688,槮,sēn,sen,1,"['lush growth (trees)', 'fishing using bundled wood (archaic)']",[],[]
4689,槱,yoǔ,you,3,['ritual bonfire'],[],[]
4690,槲,hú,hu,2,['Mongolian oak (Quercus dentata)'],"[{u'ch': '\xe6\xa7\xb2\xe6\xa8\xb9', u'py': 'hu2 shu4', u'chs': '\xe6\xa7\xb2\xe6\xa0\x91', u'vartype': ''}]",[]
4691,槳,jiǎng,jiang,3,"['oar', 'paddle']",[],[]
4692,槵,huàn,huan,4,['soapberry (order Sapindales)'],[],[]
4693,槹,gāo,gao,1,[],"[{u'ch': '\xe6\xa7\x94', u'py': 'gao1', u'chs': '\xe6\xa7\x94', u'vartype': ''}]",[]
4694,槺,kāng,kang,1,['empty space inside a building'],[],[]
4695,槻,guī,gui,1,['zelkova tree'],[],[]
4696,槼,guī,gui,1,[],"[{u'ch': '\xe8\xa6\x8f', u'py': 'gui1', u'chs': '\xe8\xa7\x84', u'vartype': ''}]",[]
4697,槽,cáo,cao,2,"['trough', 'manger', 'groove', 'channel', '(Tw) (computing) hard drive']",[],[]
4698,槾,mán,man,2,['(tree)'],[],[]
4699,槿,jǐn,jin,3,"['Hibiscus syriacus', 'transient']",[],[]
4700,樁,zhuāng,zhuang,1,"['stump', 'stake', 'pile', 'classifier for items']",[],[]
4701,樂,lè,le,4,"['happy', 'cheerful', 'to laugh']",[],[]
4702,樂,yuè,yue,4,['music'],[],[]
4703,樅,cōng,cong,1,['fir tree'],[],[]
4704,樆,chī,chi,1,['manjack or cordia (genus Cordia)'],[],[]
4705,樆,lí,li,2,['rowan or mountain ash (genus Sorbus)'],[],[]
4706,樊,fán,fan,2,"['cage', 'fence']",[],[]
4707,樎,sù,su,4,['manger'],[],[]
4708,樏,lěi,lei,3,['mountain-climbing shoes'],[],[]
4709,樐,lǔ,lu,3,[],"[{u'ch': '\xe6\xab\x93', u'py': 'lu3', u'chs': '\xe6\xa9\xb9', u'vartype': 'old'}]",[]
4710,樑,liáng,liang,2,[],"[{u'ch': '\xe6\xa2\x81', u'py': 'liang2', u'chs': '\xe6\xa2\x81', u'vartype': ''}]",[]
4711,樓,loú,lou,2,"['house with more than 1 story', 'storied building', 'floor']",[],"[('\xe5\xb1\xa4', '\xe5\xb1\x82', 'ceng2'), ('\xe5\xba\xa7', '\xe5\xba\xa7', 'zuo4'), ('\xe6\xa3\x9f', '\xe6\xa0\x8b', 'dong4')]"
4712,樕,sù,su,4,['shrub'],[],[]
4713,樗,chū,chu,1,['simaroubaceae'],[],[]
4714,樘,chěng,cheng,3,['a pillar'],[],[]
4715,樘,táng,tang,2,"['pillar', 'door post', 'door or window frame', 'classifier for doors or windows']",[],[]
4716,標,biāo,biao,1,"['mark', 'sign', 'label', 'to mark with a symbol, label, lettering etc', 'to bear (a brand name, registration number etc)', 'prize', 'award', 'bid', 'target', 'quota', '(old) the topmost branches of a tree', 'visible symptom', 'classifier for military units']",[],[]
4717,樛,jiū,jiu,1,['to hang down'],[],[]
4718,樞,shū,shu,1,"['hinge', 'pivot']",[],[]
4719,樟,zhāng,zhang,1,"['camphor', 'Cinnamonum camphara']",[],[]
4720,樠,mén,men,2,"['elm', 'gum']",[],[]
4721,模,mó,mo,2,"['to imitate', 'model', 'norm', 'pattern']",[],[]
4722,模,mú,mu,2,"['mold', 'die', 'matrix', 'pattern']",[],[]
4723,樣,yàng,yang,4,"['manner', 'pattern', 'way', 'appearance', 'shape', 'classifier: kind, type']",[],[]
4724,樧,shā,sha,1,['Zanthoxylum ailanthoides'],[],[]
4725,樨,xī,xi,1,['Osmanthus fragrans'],[],[]
4726,権,quán,quan,2,[],"[{u'ch': '\xe6\xac\x8a', u'py': 'quan2', u'chs': '\xe6\x9d\x83', u'vartype': 'old'}]",[]
4727,樲,èr,er,4,['acid variety of jujube plum'],[],[]
4728,樴,zhí,zhi,2,"['stake', 'picket']",[],[]
4729,樵,qiáo,qiao,2,"['firewood', 'gather wood']",[],[]
4730,樶,zuī,zui,1,"['knag', 'a kind of sled used to cross a muddy area (old)']",[],[]
4731,樸,pǔ,pu,3,"['plain and simple', 'Taiwan pr. [pu2]']",[],[]
4732,樹,shù,shu,4,"['tree', 'to cultivate', 'to set up']",[],"[('\xe6\xa3\xb5', '\xe6\xa3\xb5', 'ke1')]"
4733,樺,huà,hua,4,"['birch tree', 'Betula japonica']",[],[]
4734,樻,guì,gui,4,[],"[{u'ch': '\xe6\xab\x83', u'py': 'gui4', u'chs': '\xe6\x9f\x9c', u'vartype': 'old'}]",[]
4735,樽,zūn,zun,1,"['goblet', 'bottle', 'wine-jar']",[],[]
4736,樾,yuè,yue,4,['shade of trees'],[],[]
4737,樿,zhǎn,zhan,3,['(wood)'],[],[]
4738,橁,xún,xun,2,['Fraxinus bungeana'],[],[]
4739,橃,fá,fa,2,['large boat'],"[{u'ch': '\xe7\xad\x8f', u'py': 'fa2', u'chs': '\xe7\xad\x8f', u'vartype': 'old'}]",[]
4740,橄,gǎn,gan,3,['olive'],[],[]
4741,橆,wǔ,wu,3,"['negative', 'none', 'without', 'apart from']","[{u'ch': '\xe7\x84\xa1', u'py': '', u'chs': '\xe6\x97\xa0', u'vartype': ''}]",[]
4742,橇,qiāo,qiao,1,"['sled', 'sleigh']",[],[]
4743,橈,ráo,rao,2,"['radius (anatomy)', 'bone of the forearm']",[],[]
4744,橊,liú,liu,2,[],"[{u'ch': '\xe6\xa6\xb4', u'py': 'liu2', u'chs': '\xe6\xa6\xb4', u'vartype': 'old'}]",[]
4745,橋,qiáo,qiao,2,['bridge'],[],"[('\xe5\xba\xa7', '\xe5\xba\xa7', 'zuo4')]"
4746,橎,fǎn,fan,3,['a kind of tree'],[],[]
4747,橐,tuó,tuo,2,"['sack', 'tube open at both ends', '(onom.) footsteps']",[],[]
4748,橕,chēng,cheng,1,"['a prop', 'a shore']",[],[]
4749,橘,jú,ju,2,"['mandarin orange (Citrus reticulata)', 'tangerine']",[],[]
4750,橙,chéng,cheng,2,"['orange tree', 'orange (color)']",[],[]
4751,橚,sù,su,4,['tall and straight (of trees)'],[],[]
4752,橛,jué,jue,2,"['a peg', 'low post']",[],[]
4753,橜,jué,jue,2,[],"[{u'ch': '\xe6\xa9\x9b', u'py': 'jue2', u'chs': '\xe6\xa9\x9b', u'vartype': 'old'}]",[]
4754,機,jī,ji,1,"['machine', 'engine', 'opportunity', 'intention', 'aircraft', 'pivot', 'crucial point', 'flexible (quick-witted)', 'organic']",[],"[('\xe8\x87\xba', '\xe5\x8f\xb0', 'tai2')]"
4755,橡,xiàng,xiang,4,"['oak', 'Quercus serrata']",[],[]
4756,橢,tuǒ,tuo,3,['ellipse'],[],[]
4757,橤,ruǐ,rui,3,[],"[{u'ch': '\xe8\x95\x8a', u'py': 'rui3', u'chs': '\xe8\x95\x8a', u'vartype': ''}]",[]
4758,橧,zēng,zeng,1,['dwelling on top of wooden stakes'],[],[]
4759,橫,héng,heng,2,"['horizontal', 'across', '(horizontal character stroke)']",[],[]
4760,橫,hèng,heng,4,"['harsh and unreasonable', 'unexpected']",[],[]
4761,橾,qiāo,qiao,1,[],"[{u'ch': '\xe9\x8d\xac', u'py': 'qiao1', u'chs': '\xe9\x94\xb9', u'vartype': 'old'}]",[]
4762,橾,shū,shu,1,['the hole in the center of a wheel accommodating the axle (archaic)'],[],[]
4763,橿,jiāng,jiang,1,['Quercus glauca'],[],[]
4764,檀,tán,tan,2,"['sandalwood', 'hardwood', 'purple-red']",[],[]
4765,檁,lǐn,lin,3,"['cross-beam', 'ridge-pole']",[],[]
4766,檃,yǐn,yin,3,['tool used for shaping wood (old)'],[],[]
4767,檄,xí,xi,2,"['dispatch', 'order']",[],[]
4768,檇,zuì,zui,4,['wooden pestle or rammer'],[],[]
4769,檉,chēng,cheng,1,['tamarisk'],[],[]
4770,檍,yì,yi,4,['Quercus glauca'],[],[]
4771,檎,qín,qin,2,['(fruit)'],[],[]
4772,檐,yán,yan,2,"['eaves', 'ledge or brim']",[],[]
4773,檑,léi,lei,2,['logs rolled down in defense of city'],[],[]
4774,檔,dǎng,dang,3,"['(Tw) variant of \xe6\x93\x8b|\xe6\x8c\xa1[dang3], gear']",[],[]
4775,檔,dàng,dang,4,"['official records', 'grade (of goods)', 'file', 'records', 'shelves', 'slot', 'gap', 'crosspiece', 'classifier for crosspieces', 'classifier for events, affairs etc', 'Taiwan pr. [dang3]']",[],[]
4776,檖,suì,sui,4,['(tree)'],[],[]
4777,檗,bò,bo,4,['Phellodendron amurense'],[],[]
4778,檜,guì,gui,4,"['Chinese Juniper (Juniperus chinensis)', 'coffin lid decoration (old)']",[],[]
4779,檝,jí,ji,2,[],"[{u'ch': '\xe6\xa5\xab', u'py': 'ji2', u'chs': '\xe6\xa5\xab', u'vartype': ''}]",[]
4780,檟,jiǎ,jia,3,"['Catalpa, a genus of mostly deciduous trees', 'old term for Camellia sinensis, the tea plant \xe8\x8c\xb6', 'also called Thea sinensis', 'small evergreen shrub (Mallotus japonicus)']",[],[]
4781,檠,qíng,qing,2,['instrument for straightening bows'],[],[]
4782,檢,jiǎn,jian,3,"['to check', 'to examine', 'to inspect', 'to exercise restraint']",[],[]
4783,檣,qiáng,qiang,2,"['boom', 'mast']",[],[]
4784,檥,yǐ,yi,3,[],"[{u'ch': '\xe8\x89\xa4', u'py': 'yi3', u'chs': '\xe8\x88\xa3', u'vartype': ''}]",[]
4785,檨,shē,she,1,['mango'],[],[]
4786,檫,chá,cha,2,"['Chinese sassafras', 'Sassafras tzumu']",[],[]
4787,檬,méng,meng,2,['lemon'],[],[]
4788,檮,táo,tao,2,"['dunce', 'blockhead']",[],[]
4789,檯,tái,tai,2,"['desk', 'table', 'counter']",[],[]
4790,檳,bīng,bing,1,"['betel palm (Areca catechu)', 'betel nut', 'Taiwan pr. [bin1]']",[],[]
4791,檴,huò,huo,4,['(tree)'],[],[]
4792,檵,jì,ji,4,"['fringe flower (Loropetalum chinense), evergreen shrub']",[],[]
4793,檵,qǐ,qi,3,"['variant of \xe6\x9d\x9e[qi3], wolfberry shrub (Lycium chinense)']",[],[]
4794,檸,níng,ning,2,['lemon'],[],[]
4795,檻,jiàn,jian,4,"['banister', 'balustrade', 'cage for animal or prisoner', 'to transport caged prisoner on a cart']",[],[]
4796,檻,kǎn,kan,3,"['door sill', 'threshold']",[],[]
4797,櫂,zhào,zhao,4,"['oar (archaic)', 'scull', 'paddle', 'to row', 'a boat']",[],[]
4798,櫃,guì,gui,4,"['cupboard', 'cabinet', 'wardrobe']",[],[]
4799,櫆,kuí,kui,2,"['see \xe6\xab\x86\xe5\xb8\xab|\xe6\xab\x86\xe5\xb8\x88[kui2 shi1] Polaris, the north star']",[],[]
4800,櫈,dèng,deng,4,[],"[{u'ch': '\xe5\x87\xb3', u'py': 'deng4', u'chs': '\xe5\x87\xb3', u'vartype': ''}]",[]
4801,櫌,yoū,you,1,['harrow'],[],[]
4802,櫓,lǔ,lu,3,['scull (single oar worked from side to side over the stern of a boat) (free word)'],[],[]
4803,櫛,zhì,zhi,4,"['comb', 'to comb', 'to weed out', 'to eliminate', 'Taiwan pr. [jie2]']",[],[]
4804,櫜,gāo,gao,1,['weapon case'],[],[]
4805,櫝,dú,du,2,"['cabinet', 'case', 'casket']",[],[]
4806,櫞,yuán,yuan,2,['Citrus medica'],[],[]
4807,櫟,lì,li,4,"['oak', 'Quercus serrata']",[],[]
4808,櫠,fèi,fei,4,['a variety of pomelo (old)'],[],[]
4809,櫡,zhù,zhu,4,[],"[{u'ch': '\xe7\xae\xb8', u'py': 'zhu4', u'chs': '\xe7\xae\xb8', u'vartype': ''}]",[]
4810,櫥,chú,chu,2,"['wardrobe', 'closet', 'cabinet']",[],[]
4811,櫧,zhū,zhu,1,['Quercus glanca'],[],[]
4812,櫨,lú,lu,2,"['capital (of column)', 'smoke tree']",[],[]
4813,櫪,lì,li,4,"['type of oak', 'stable (for horses)']",[],[]
4814,櫫,zhū,zhu,1,['Zelkova acuminata'],[],[]
4815,櫬,chèn,chen,4,"['Sterculia plantanifolia', 'coffin']",[],[]
4816,櫱,niè,nie,4,['new shoot growing from cut branch or stump'],[],[]
4817,櫳,lóng,long,2,"['bar', 'cage', 'gratings']",[],[]
4818,櫸,jǔ,ju,3,['Zeikowa acuminata'],[],[]
4819,櫹,xiāo,xiao,1,['a type of big tree (archaic)'],[],[]
4820,櫺,líng,ling,2,['latticework on a window'],[],[]
4821,櫻,yīng,ying,1,['cherry'],[],[]
4822,櫽,yǐn,yin,3,['tool used for shaping wood (old)'],"[{u'ch': '\xe6\xaa\x83', u'py': 'yin3', u'chs': '\xe6\xaa\x83', u'vartype': 'old'}]",[]
4823,欀,xiāng,xiang,1,"['inner lining of wooden utensils', 'component beam used in building construction', 'species of oak tree with medicinal bark (old)']",[],[]
4824,欂,bó,bo,2,['rafter'],[],[]
4825,欃,chán,chan,2,"['sandalwood (Santalum album), a Nepalese tree producing valuable fragrant oil', 'comet']",[],[]
4826,欄,lán,lan,2,"['fence', 'railing', 'hurdle', 'column or box (of text or other data)']",[],[]
4827,權,quán,quan,2,"['authority', 'power', 'right', '(literary) to weigh', 'expedient', 'temporary']",[],[]
4828,欎,yù,yu,4,[],"[{u'ch': '\xe9\xac\xb1', u'py': 'yu4', u'chs': '\xe9\x83\x81', u'vartype': 'old'}]",[]
4829,欏,luó,luo,2,['see \xe6\xa1\xab\xe6\xac\x8f|\xe6\xa1\xab\xe6\xa4\xa4[suo1 luo2]'],[],[]
4830,欐,lì,li,4,['beam'],[],[]
4831,欑,zàn,zan,4,['gather'],[],[]
4832,欒,luán,luan,2,['Koelreuteria paniculata'],[],[]
4833,欖,lǎn,lan,3,['olive'],[],[]
4834,欙,léi,lei,2,['sedan'],[],[]
