,traditional,pinyin,pinyin(raw),tone,definition,variants,measure-words
58,㢲,xùn,xun,4,[],"[{u'ch': '\xe5\xb7\xbd', u'py': 'xun4', u'chs': '\xe5\xb7\xbd', u'vartype': ''}]",[]
59,㢴,xī,xi,1,[],"[{u'ch': '\xe8\xa5\xbf', u'py': 'xi1', u'chs': '\xe8\xa5\xbf', u'vartype': 'old'}]",[]
60,㤅,ài,ai,4,[],"[{u'ch': '\xe6\x84\x9b', u'py': 'ai4', u'chs': '\xe7\x88\xb1', u'vartype': 'archaic'}]",[]
61,㤙,ēn,en,1,[],"[{u'ch': '\xe6\x81\xa9', u'py': 'en1', u'chs': '\xe6\x81\xa9', u'vartype': ''}]",[]
62,㥁,dé,de,2,[],"[{u'ch': '\xe5\xbe\xb7', u'py': 'de2', u'chs': '\xe5\xbe\xb7', u'vartype': ''}]",[]
63,㥏,tiǎn,tian,3,['ashamed'],[],[]
64,㥦,qiè,qie,4,[],"[{u'ch': '\xe6\x84\x9c', u'py': 'qie4', u'chs': '\xe6\x83\xac', u'vartype': ''}]",[]
65,㥯,yǐn,yin,3,['cautious'],[],[]
66,㦂,cháng,chang,2,[],"[{u'ch': '\xe5\xb8\xb8', u'py': 'chang2', u'chs': '\xe5\xb8\xb8', u'vartype': 'old'}]",[]
67,㧯,lǎo,lao,3,"['round-bottomed wicker basket', '(dialect) to lift', ""to carry on one's shoulder""]",[],[]
68,㧱,ná,na,2,[],"[{u'ch': '\xe6\x8b\xbf', u'py': 'na2', u'chs': '\xe6\x8b\xbf', u'vartype': 'old'}]",[]
69,㨗,jié,jie,2,"['quick', 'nimble']","[{u'ch': '\xe6\x8d\xb7', u'py': 'jie2', u'chs': '\xe6\x8d\xb7', u'vartype': ''}]",[]
70,㨪,huǎng,huang,3,[],"[{u'ch': '\xe6\x99\x83', u'py': 'huang3', u'chs': '\xe6\x99\x83', u'vartype': ''}]",[]
71,㨿,jù,ju,4,[],"[{u'ch': '\xe6\x93\x9a', u'py': 'ju4', u'chs': '\xe6\x8d\xae', u'vartype': ''}]",[]
72,㩐,dèn,den,4,[],"[{u'ch': '\xe6\x89\xbd', u'py': 'den4', u'chs': '\xe6\x89\xbd', u'vartype': ''}]",[]
73,㩗,xié,xie,2,[],"[{u'ch': '\xe6\x94\x9c', u'py': 'xie2', u'chs': '\xe6\x90\xba', u'vartype': 'old'}]",[]
74,㩜,lǎn,lan,3,[],"[{u'ch': '\xe6\x93\xa5', u'py': 'lan3', u'chs': '\xe6\x93\xa5', u'vartype': ''}]",[]
75,㩦,xié,xie,2,[],"[{u'ch': '\xe6\x94\x9c', u'py': 'xie2', u'chs': '\xe6\x90\xba', u'vartype': 'old'}]",[]
76,㪃,hé,he,2,"['to beat', 'to hit']",[],[]
77,㪋,hàn,han,4,[],"[{u'ch': '\xe6\x8d\x8d', u'py': 'han4', u'chs': '\xe6\x8d\x8d', u'vartype': ''}]",[]
78,㪚,sàn,san,4,[],"[{u'ch': '\xe6\x95\xa3', u'py': 'san4', u'chs': '\xe6\x95\xa3', u'vartype': ''}]",[]
79,㪟,dūn,dun,1,[],"[{u'ch': '\xe6\x95\xa6', u'py': 'dun1', u'chs': '\xe6\x95\xa6', u'vartype': ''}]",[]
80,㫺,xī,xi,1,[],"[{u'ch': '\xe6\x98\x94', u'py': 'xi1', u'chs': '\xe6\x98\x94', u'vartype': 'old'}]",[]
81,㬉,nuǎn,nuan,3,[],"[{u'ch': '\xe6\x9a\x96', u'py': 'nuan3', u'chs': '\xe6\x9a\x96', u'vartype': 'old'}]",[]
82,㬎,xiǎn,xian,3,"['visible', 'apparent']","[{u'ch': '\xe9\xa1\xaf', u'py': 'xian3', u'chs': '\xe6\x98\xbe', u'vartype': 'old'}]",[]
83,㮎,bēi,bei,1,[],"[{u'ch': '\xe6\x9d\xaf', u'py': 'bei1', u'chs': '\xe6\x9d\xaf', u'vartype': ''}]",[]
84,㮚,lì,li,4,[],"[{u'ch': '\xe6\xa0\x97', u'py': 'li4', u'chs': '\xe6\xa0\x97', u'vartype': 'old'}]",[]
85,㮸,sòng,song,4,[],"[{u'ch': '\xe9\x80\x81', u'py': 'song4', u'chs': '\xe9\x80\x81', u'vartype': ''}]",[]
86,㯭,lǔ,lu,3,[],"[{u'ch': '\xe6\xab\x93', u'py': 'lu3', u'chs': '\xe6\xa9\xb9', u'vartype': ''}]",[]
87,㯳,qíng,qing,2,[],"[{u'ch': '\xe6\xaa\xa0', u'py': 'qing2', u'chs': '\xe6\xaa\xa0', u'vartype': ''}]",[]
88,㱃,yǐn,yin,3,[],"[{u'ch': '\xe9\xa3\xb2', u'py': 'yin3', u'chs': '\xe9\xa5\xae', u'vartype': 'old'}]",[]
89,㱾,gāi,gai,1,['a kind of metal or jade ornament worn in ancient times to ward off evil spirits'],[],[]
90,㲈,sháo,shao,2,[],"[{u'ch': '\xe9\x9f\xb6', u'py': 'shao2', u'chs': '\xe9\x9f\xb6', u'vartype': ''}]",[]
91,㲈,táo,tao,2,[],"[{u'ch': '\xe9\x9e\x80', u'py': 'tao2', u'chs': '\xe9\x9e\x80', u'vartype': ''}]",[]
92,㲋,chuò,chuo,4,['ancient name for an animal similar to rabbit but bigger'],[],[]
93,㲱,liè,lie,4,[],"[{u'ch': '\xe9\xac\xa3', u'py': 'lie4', u'chs': '\xe9\xac\xa3', u'vartype': 'old'}]",[]
94,㲾,yǔ,yu,3,[],"[{u'ch': '\xe9\x9b\xa8', u'py': 'yu3', u'chs': '\xe9\x9b\xa8', u'vartype': 'old'}]",[]
95,㳂,yán,yan,2,[],"[{u'ch': '\xe6\xb2\xbf', u'py': 'yan2', u'chs': '\xe6\xb2\xbf', u'vartype': ''}]",[]
96,㳄,xián,xian,2,[],"[{u'ch': '\xe6\xb6\x8e', u'py': 'xian2', u'chs': '\xe6\xb6\x8e', u'vartype': ''}]",[]
97,㳒,fǎ,fa,3,[],"[{u'ch': '\xe6\xb3\x95', u'py': 'fa3', u'chs': '\xe6\xb3\x95', u'vartype': ''}]",[]
98,㳮,niào,niao,4,[],"[{u'ch': '\xe5\xb0\xbf', u'py': 'niao4', u'chs': '\xe5\xb0\xbf', u'vartype': 'old'}]",[]
99,㴱,shēn,shen,1,[],"[{u'ch': '\xe6\xb7\xb1', u'py': 'shen1', u'chs': '\xe6\xb7\xb1', u'vartype': 'old'}]",[]
100,㵎,jiàn,jian,4,[],"[{u'ch': '\xe6\xbe\x97', u'py': 'jian4', u'chs': '\xe6\xb6\xa7', u'vartype': ''}]",[]
101,㵪,xián,xian,2,[],"[{u'ch': '\xe6\xb6\x8e', u'py': 'xian2', u'chs': '\xe6\xb6\x8e', u'vartype': ''}]",[]
102,㵮,chún,chun,2,['clear water'],[],[]
103,㶸,xié,xie,2,"['(precise meaning unknown, relates to iron)']","[{u'ch': '\xe5\x8d\x94', u'py': 'xie2', u'chs': '\xe5\x8d\x8f', u'vartype': ''}]",[]
104,㷖,zhào,zhao,4,[],"[{u'ch': '\xe7\x85\xa7', u'py': 'zhao4', u'chs': '\xe7\x85\xa7', u'vartype': 'old'}]",[]
105,㷭,fēng,feng,1,[],"[{u'ch': '\xe7\x83\xbd', u'py': 'feng1', u'chs': '\xe7\x83\xbd', u'vartype': 'old'}]",[]
106,㹠,tún,tun,2,[],"[{u'ch': '\xe8\xb1\x9a', u'py': 'tun2', u'chs': '\xe8\xb1\x9a', u'vartype': 'old'}]",[]
107,㹢,jiā,jia,1,['see \xe7\x8e\x83[jue2]'],[],[]
108,㹴,gěng,geng,3,['fierce dog'],[],[]
